keyword_text,match_type,clicks,impressions,conversions,cost_eur,conversion_value,quality_score
hiking shoes,phrase,79,2107,2,306.18,929.75,5
reebok nano,phrase,21,710,1,69.34,196.6,7
men shoes,exact,58,811,2,267.24,185.05,8
 affordable shoes ,phrase,144,2441,4,649.33,752.35,8
leather shoes,broad,217,7042,8,709.52,1954.74,3
shoe shop,exact,81,1266,5,149.62,1242.33,8
vans sneakers,broad,44,4233,3,68.01,310.25,4
casual shoes,phrase,31,633,2,47.77,308.57,8
shoe sale,phrase,76,1138,2,230.09,968.83,7
shoe sale,exact,24,489,0,56.29,0.0,7
narrow shoes,exact,86,1052,3,211.76,1176.9,7
shoe clearance,exact,53,642,4,220.24,1731.26,10
soccer shoes,phrase,351,4430,10,1519.88,2112.86,7
shoe brands,exact,130,1275,9,70.38,1965.46,7
leather shoes,phrase,53,1733,2,181.2,749.01,6
shoe reviews,exact,198,1693,9,755.5,1979.27,8
climbing shoes,broad,239,7000,11,694.44,3778.92,6
shoe models,broad,113,8778,7,135.2,1751.14,4
shoe models,phrase,31,530,2,78.85,313.69,7
climbing shoes,exact,44,654,3,154.61,364.91,8
luxury shoes,exact,110,1419,1,325.8,303.48,10
climbing shoes,broad,207,6325,16,319.78,7997.47,3
casual shoes,broad,76,7003,5,133.0,1472.79,6
wide fit shoes,phrase,32,953,0,126.66,0.0,8
luxury shoes,phrase,279,3559,8,1329.49,2878.99,6
kids shoes,exact,120,1201,11,217.17,2155.24,10
crossfit shoes,broad,98,4257,1,413.5,354.94,4
reebok nano,phrase,108,2951,6,193.45,1355.94,8
tennis  shoes,exact,37,257,0,177.85,0.0,8
leather shoes,broad,24,1338,1,82.0,376.57,3
shoe colors,phrase,41,1370,3,"172,44",1254.44,6
shoe outlet,phrase,228,4127,9,321.95,4186.31,7
shoe store,broad,190,5168,11,410.59,1333.12,6
narrow shoes,phrase,45,1588,3,172.43,681.06,8
narrow shoes,phrase,87,2213,2,298.2,652.87,6
climbing shoes,exact,53,380,1,116.78,52.47,10
shoe colors,broad,181,4719,  15  ,291.58,3053.85,4
skechers memory foam,phrase,201,3754,7,586.73,2789.77,5
shoe brands,exact,118,1279,6,178.72,1876.72,9
 shoe discount ,exact,155,1654,15,619.69,5578.73,  9  
adidas ultraboost,phrase,42,967,0,156.29,0.0,6
summer sandals,phrase,89,2593,1,221.67,278.09,6
wide fit shoes,phrase,100,1629,6,383.85,2109.77,8
trail running shoes,exact,31,323,2,133.71,165.04,9
leather shoes,phrase,165,2392,5,267.44,441.55,6
work shoes,broad,50,6020,1,25.93,462.84,4
soccer shoes,exact,160,1977,11,585.67,940.37,7
shoe promotion,phrase,207,4730,19,896.23,8304.75,7
skechers memory foam,phrase,99,560.31,1,422.15,263.13,5
reebok nano,phrase,304,4836,22,1407.45,3116.27,5
gym shoes,broad,33,3501,2,109.02,726.49,4
climbing shoes,exact,176,1869,9,305.39,1510.44,7
shoe promotion,broad,144,8587,3,373.05,1486.93,4
shoe sale,broad,143,6068,9,640.35,3972.57,5
online shoes,broad,45,3772,2,181.15,164.76,4
wide fit shoes,broad,104,5064,3,-,874.16,4
brand shoes,broad,159,5605,3,598.56,1072.03,3
tennis shoes,phrase,113,4011,2,424.0,888.89,8
tennis shoes,broad,20,2394,0,40.41,0.0,5
 shoe discount ,phrase,39,1147,1,175.17,241.39,5
shoe clearance,exact,250,1867,14,644.43,3579.13,9
skechers memory foam,exact,99,1490,2,108.05,172.83,9
gym shoes,broad,300,7848,3,1165.54,830.07,6
nike air max,broad,94,4636,3,391.25,1189.13,4
shoe ratings,exact,142,1932,12,215.18,2567.1,10
vans sneakers,broad,287,7935,14,393.28,1760.55,3
affordable shoes,exact,26,397,0,19.93,0.0,7
waterproof shoes,broad,220,9628,19,796.9,1753.6,4
shoe brands,broad,64,5223,2,204.94,553.58,6
adidas ultraboost,phrase,61,1919,3,246.27,693.28,7
tennis shoes,phrase,306,4571,26,1143.64,10689.4,8
shoe ratings,exact,126,1297,11,562.03,2386.95,9
shoe sizes,exact,70,708,6,46.19,-9999.99,10
shoe shop,broad,184,8829,3,799.74,894.74,4
yoga shoes,phrase,65,2058,5,186.15,2172.78,6
shoe ratings,phrase,65,2148,4,116.2,1416.8,8
shoe store,exact,78,738,0,272.68,0.0,10
shoe promotion,phrase,181,3348,17,895.1,3817.36,8
shoe colors,broad,93,2516,8,198.43,593.6,3
nike air max,broad,100,3845,6,149.78,1890.72,3
work shoes,phrase,157,3025,9,783.39,1670.02,8
formal shoes,phrase,53,1024,5,200.4,2290.62,7
brand shoes,exact,174,1190,3,492.93,508.04,10
summer sandals,phrase,156,2731,4,705.86,1239.94,6
marathon shoes,exact,63,446,0,206.65,0.0,10
summer sandals,exact,83,1566,5,91.71,1811.43,10
training shoes,phrase,251,3482,17,256.36,7769.29,5
puma running,broad,88,6344,6,405.69,974.91,5
formal shoes,broad,166,4682,13,596.54,2684.62,5
shoe colors,phrase,223,3413,13,968.53,4421.05,8
yoga shoes,phrase,	350	,4860,12,283.13,1270.71,8
narrow shoes,phrase,215,3459,10,452.16,4839.53,6
shoe promotion,phrase,59,947,5,166.27,385.02,6
skechers memory foam,phrase,44,1970,2,218.69,241.85,5
soccer shoes,exact,18,174,0,47.73,0.0,8
puma running,phrase,75,1643,1,327.43,172.69,6
kids shoes,broad,71,,5,147.54,1946.64,3
leather shoes,broad,161,7717,171,245.97,580.59,3
yoga shoes,broad,50,4102,3,223.67,691.08,3
shoe ratings,phrase,209,4263,11,229.28,5310.41,5
soccer shoes,phrase,163,3973,6,360.57,1255.66,6
 shoe clearance ,exact,223,1683,11,857.96,1895.12,10
training shoes,phrase,311,4516,28,931.41,3721.48,5
marathon shoes,broad,219,7156,17,413.53,7849.77,5
discount shoes,phrase,128,2348,2,443.95,383.43,7
reebok nano,broad,133,4470,11,410.6,4023.51,5
walking shoes,broad,557.23,8824,4,1293.21,1015.38,6
casual shoes,exact,73,1157,4,330.21,442.53,8
men shoes,broad,128,3493,11,271.26,3102.48,3
reebok nano,phrase,255,3604,7,482.13,620.09,8
climbing shoes,exact,148,1694,4,138.31,1035.1,7
shoe buying guide,exact,122,1679,8,418.57,633.77,10
shoe buying guide,phrase,54,1463,3,251.67,383.62,5
shoe promotion,broad,165,5453,7,511.79,1817.54,5
luxury shoes,exact,156,1700,12,219.03,"879,18",7
summer sandals,phrase,105,1580,3,344.07,1474.99,6
marathon shoes,phrase,178,2587,7,292.81,3130.92,7
luxury shoes,exact,206,1618,5,729.63,2076.62,9
running shoes,exact,9,162,0,12.84,0.0,8
converse all star,exact,248,1987,23,140.93,9466.26,7
converse all star,phrase,227,3727,12,739.2,5151.13,6
kids shoes,phrase,249,3529,4,914.53,1214.34,6
yoga shoes,broad,117,7006,1,89.79,446.37,3
work shoes,phrase,160,4448,13,576.83,2566.24,8
yoga shoes,broad,109,6178,4,182.19,427.16,6
marathon shoes,broad,150,3854,11,81.25,2807.22,6
discount shoes,broad,72,3700,4,226.89,1473.24,6
wide  fit  shoes,phrase,233,3470,8,866.84,2299.14,7
winter boots,phrase,174,4778,13,674.38,1579.61,8
shoe sale,exact,68,479,5,283.02,2037.13,9
shoe models,exact,271,1833,16,528.48,2685.72,9
converse all star,broad,190,5582,18,501.39,5365.88,3
gym shoes,exact,115,937,7,440.69,2433.56,7
luxury shoes,phrase,81,2732,8,249.49,2109.92,6
shoe brands,phrase,46,643,2,151.57,199.72,8
leather shoes,phrase,238,3157,22,194.12,6993.47,7
walking shoes,phrase,85,2376,4,81.34,678.32,6
shoe shop,phrase,94,2825,6,103.47,2842.49,5
vans sneakers,broad,58,7581,4,197.06,644.64,3
wide fit shoes,phrase,34,1095,0,70.13,0.0,7
reebok nano,phrase,210,4272,10,1035.67,3979.36,8
shoe sizes,phrase,108,4417,3,287.55,1110.52,8
shoe outlet,phrase,236,4753,15,605.17,2691.94,5
shoe buying guide,broad,46,2800,1,228.98,72.91,3
shoe discount,phrase,105,3030,9,121.64,669.85,5
shoe ratings,broad,132,4330,11,339.67,4599.62,3
training  shoes,phrase,47,1921,0,213.78,0.0,6
summer sandals,broad,15,1086,0,20.48,0.0,3
narrow shoes,broad,22,2526,1,86.18,325.69,5
reebok nano,broad,52,5847,1,169.02,113.1,4
running shoes,phrase,277,3976,12,680.59,3808.3,6
shoe store,exact,76,1110,2,-170.12,400.28,9
crossfit shoes,broad,218,5461,12,882.13,1474.76,6
soccer shoes,broad,17,1740,0,21.36,0.0,4
hiking shoes,phrase,132,2655,6,601.47,2556.45,6
wide fit shoes,broad,38,2711,3,132.25,860.11,3
trail running shoes,exact,-100,1656,5,171.88,1888.09,8
shoe brands,phrase,257,4920,17,1169.98,2812.78,7
basketball shoes,broad,92,6798,6,216.77,1312.44,3
narrow shoes,exact,143,1845,2,163.22,483.12,8
shoe brands,broad,235,9691,7,292.23,3006.96,5
shoe clearance,broad,230,8772,2,713.96,912.33,3
shoe discount,phrase,188,3989,3,224.44,553.37,5
affordable shoes,phrase,325,4980,10,1202.63,4984.67,8
shoe discount,broad,72,5029,2,304.11,958.83,3
basketball shoes,broad,135,5148,9,446.03,3128.53,3
crossfit shoes,broad,108,7558,4,"506,25",779.23,4
brand shoes,exact,16,123,0,34.74,0.0,8
walking shoes,broad,55,5750,3,115.34,1227.34,"6,00"
shoe models,broad,375,9468,22,1416.74,10264.67,6
SHOE SIZES,phrase,248,3253,24,603.03,6484.4,5
nike air max,exact,174,1963,6,,1056.81,8
puma running,broad,170,5153,13,591.23,2167.38,5
shoe reviews,exact,154,1608,2,405.27,954.26,8
shoe ratings,phrase,148,3228,9,446.8,3716.12,6
narrow shoes,broad,20,3588,0,28.39,0.0,"4,00"
summer sandals,exact,190,1371,17,846.21,5817.36,7
basketball shoes,exact,129,1081,12,416.64,4687.36,7
climbing shoes,broad,169,4683,9,450.17,843.72,6
wide fit shoes,phrase,96,3647,7,157.1,3041.7,5
discount shoes,broad,44,1122,3,171.13,480.07,6
vans sneakers,exact,52,405,1,164.58,84.9,10
online shoes,phrase,42,1304,3,81.44,326.79,7
soccer shoes,broad,213,5668,2,518.45,498.55,4
shoe sizes,exact,89,913,1,424.45,76.59,7
hiking shoes,exact,51,927,2,41.16,234.49,  9  
shoe store,broad,78,3157,2,112.65,996.41,6
trail running shoes,phrase,161,2932,2,93.8,292.14,6
women sports shoes,exact,114,1016,5,314.9,1635.95,8
reebok nano,broad,236,7857,3,169.14,1483.64,316.65
shoe sizes,phrase,115,1802,6,256.73,816.4,6
affordable shoes,exact,91,1011,3,357.8,951.97,9
nike air max,exact,113,1129,9,248.91,1045.28,8
summer sandals,broad,75,1952,5,142.85,952.73,4
shoe comparison,phrase,90,4465,7,60.13,506.21,5
shoe outlet,exact,90,880,5,78.86,1418.61,9
vans sneakers,phrase,76,3339,2,198.77,943.94,6
formal shoes,phrase,334,4257,32,485.88,7379.5,8
shoe sale,phrase,116,1778,6,241.95,2823.69,7
shoe discount,broad,109,5555,5,491.28,665.7,5
wide fit shoes,phrase,-330,4703,31,223.65,13665.95,5
narrow shoes,phrase,202,3107,5,851.42,776.28,99
shoe clearance,exact,12,227,1,16.81,230.58,9
gym shoes,phrase,125,3482,3,64.91,351.57,7
shoe sale,exact,120,1268,10,77.46,1868.22,7
crossfit shoes,phrase,25,1223,1,118.47,317.89,6
training shoes,phrase,330,4946,11,1534.31,3651.23,8
women sports shoes,exact,119,1383,1,570.21,-359.3,8
adidas ultraboost,exact,NULL,937,1,119.85,251.14,10
work shoes,phrase,23,626,1,-62.66,447.08,7
shoe discount,broad,338,9479,6,1181.89,2955.64,4
hiking shoes,phrase,132,3014,2,627.22,498.2,6
soccer shoes,phrase,97,2103,5,120.18,597.67,6
men shoes,broad,43,1352,0,177.95,0.0,4
shoe models,exact,10,176,0,	35.12	,0.0,9
casual shoes,phrase,371,4962,33,194.12,15377.58,7
discount shoes,phrase,251,3463,8,812.0,534.63,6
brand shoes,phrase,63,1039,2,196.07,924.77,5
yoga shoes,phrase,15,661,0,36.76,0.0,7
puma running,phrase,114,2003,6,565.33,1028.73,5
adidas ultraboost,broad,44,1312,4,184.49,1619.2,6
nike air max,phrase,131,2098,3,232.0,579.98,8
shoe sizes,exact,62,785,4,140.65,1734.07,8
running shoes,exact,116,945,2,342.86,121.82,7
converse all star,phrase,86,3681,2,318.42,749.84,5
soccer shoes,phrase,82,2401,3,279.94,778.83,8
brand shoes,broad,109,4651,5,255.33,1600.53,6
shoe sale,phrase,16,563,0,56.25,0.0,6
shoe comparison,exact,74,625,5,365.46,513.97,7
hiking shoes,phrase,128,3147,10,343.87,921.69,6
trail running shoes,phrase,93,1382,2,117.47,897.57,8
shoe promotion,phrase,219,3839,15,695.59,5276.88,8
reebok nano,phrase,192,3631,11,148.15,4318.67,8
converse all star,exact,148,1052,1,158.08,446.69,8
waterproof shoes,broad,80,5391,7,54.18,464.48,6
brand shoes,exact,243,1639,10,897.69,3517.93,8
vans sneakers,phrase,197,3143,17,564.32,7279.23,7
shoe comparison,exact,75,947,4,336.32,1875.49,10
puma running,broad,200,5607,3,224.29,1041.95,4
summer sandals,exact,16,187,1,14.38,321.5,9
training shoes,exact,73,525,1,9999999.99,90.14,7
shoe buying guide,broad,262,8939,20,234.32,4818.09,6
formal shoes,exact,169,1321,4,507.37,732.01,7
climbing shoes,exact,181,1299,6,883.39,733.42,8
waterproof shoes,exact,137,1449,5,654.37,870.05,8
shoe promotion,phrase,188,  4926  ,3,487.33,1019.27,5
summer sandals,exact,39,591.0,2,132.99,714.51,10
shoe store,phrase,296,4755,8,353.7,2883.98,5
kids shoes,exact,157,1793,3,367.15,201.39,8
puma running,phrase,77,1910,1,170.85,344.03,5
kids shoes,broad,225,5739,17,405.38,2340.54,6
gym shoes,exact,18,183,0,34.14,0.0,7
shoe store,phrase,  131  ,1909,7,403.65,2293.87,7
waterproof shoes,exact,NULL,1442,8,373.35,2977.03,10
formal shoes,exact,123,1307,6,"370,81",1624.54,7
basketball shoes,exact,17,255,0,9.51,0.0,10
training shoes,phrase,92,2777,4,363.83,1564.56,7
shoe discount,phrase,59,2080,4,224.99,327.76,7
yoga shoes,broad,94,6609,8,353.56,3072.56,4
puma running,phrase,271,3470,26,"695,29",9404.18,8
shoe reviews,phrase,30,621,,138.36,0.0,5
formal shoes,exact,159,1745,4,771.18,1719.15,7
kids shoes,phrase,266,4428,10,378.49,2883.62,7
soccer shoes,broad,178,  4933  ,12,695.99,4761.64,3
leather shoes,exact,82,1243,5,170.08,702.51,7
vans sneakers,exact,206,@1704@,5,159.83,287.46,9
summer sandals,phrase,92,1336,6,50.4,2500.55,;8;
brand shoes,broad,18,2078,1,36.18,378.83,3
shoe store,exact,160,1529,5,230.03,2317.38,8
hiking shoes,phrase,112,2152,8,498.83,544.15,8
discount shoes,exact,62,1210,3,282.91,170.67,10
shoe models,phrase,247,4130,12,921.85,3499.18,5
tennis shoes,phrase,200,3399,6,764.57,1955.38,7
shoe reviews,phrase,352,4517,26,1191.06,8441.26,5
nike air max,exact,57,670,1,155.95,453.75,#10#
winter boots,broad,77,3762,5,140.57,793.96,4
leather shoes,exact,44,730,1,73.51,296.07,8
shoe promotion,exact,130,1016,11,244.0,2194.75,8
shoe comparison,broad,79,7840,1,304.36,337.72,6
training shoes,broad,225,7258,7,896.96,1276.07,3
puma running,phrase,27,978,1,29.87,116.27,5
vans sneakers,broad,266,6964,17,768.74,6048.17,6
winter boots,exact,100,1985,5,387.69,1249.03,9
shoe sale,phrase,81,1326,3,222.43,1289.28,6
adidas ultraboost,phrase,259,4530,18,965.46,7269.86,7
kids shoes,phrase,174,2989,10,227.96,4542.9,8
men shoes,phrase,185,-4900,11,847.85,2133.01,7
marathon shoes,phrase,232,4391,8,629.04,1802.89,5
shoe shop,broad,61,8187,5,82.53,1494.86,3
crossfit shoes,phrase,78,3631,1,76.58,120.65,6
shoe shop,phrase,206,4408,12,480.98,4136.69,8
basketball shoes,exact,170,1247,5,266.59,1242.82,8
yoga shoes,exact,79,687,6,287.97,2153.46,7
leather shoes,exact,66,738,2,158.6,857.42,10
basketball shoes,phrase,169,3212,14,251.43,6395.39,7
converse all star,exact,9,145,0,7.09,0.0,9
adidas ultraboost,phrase,55,1525,2,65.77,741.63,5
women sports shoes,broad,49,3490,4,153.55,1455.55,5
shoe shop,broad,194,5398,17,151.45,7843.51,0
shoe  discount,exact,177,1628,17,866.86,7915.64,10
formal shoes,broad,49,5046,1,43.69,129.38,5
running shoes,exact,169,1989,3,170.02,859.69,7
shoe reviews,broad,264,7137,17,557.35,3818.49,4
summer sandals,broad,289,7778,8,288.04,3747.43,4
vans sneakers,phrase,198,3511,"17,00",515.0,2422.79,8
vans sneakers,exact,199,1889,6,896.76,1447.8,10
shoe models,exact,93,1035,2,338.04,289.2,10
shoe ratings,exact,121,1423,5,535.02,654.57,7
waterproof shoes,phrase,168,2171,5,434.96,465.57,5
gym shoes,broad,NULL,5239,1,153.32,218.52,4
 men shoes ,broad,57,9599,5,138.29,2221.69,5
shoe comparison,phrase,75,1152,5,347.81,1011.9,8
shoe promotion,broad,38,4500,3,43.13,258.93,4
casual shoes,phrase,84,3999,8,"960,78",3980.9,7
men shoes,exact,35,511,1,105.09,204.05,10
shoe buying guide,phrase,301,4206,14,1116.34,2545.23,8
winter boots,broad,132,5733,1,142.44,148.21,6
hiking shoes,phrase,273,3538,27,295.33,6533.08,7
shoe promotion,exact,45,762,4,101.09,981.46,9
shoe ratings,exact,78,1112,5,308.42,1744.87,9
summer sandals,phrase,134,3333,2,413.79,754.52,6
running shoes,broad,31,2689,0,56.14,0.0,3
shoe brands,broad,151,4951,12,373.26,2744.55,4
shoe comparison,broad,54,1753,2,160.41,355.69,3
online shoes,exact,89,731,7,392.66,1919.92,9
shoe promotion,exact,290,1991,19,1098.94,6707.99,10
women sports shoes,broad,41,1441,1,123.71,264.41,5
puma running,broad,15,1091,1,15.54,224.52,6
brand shoes,exact,109,1748,2,284.37,608.11,9
walking shoes,exact,95,915,5,-359.06,1579.39,10
shoe colors,broad,219,8332,16,242.72,6647.57,5
shoe clearance,phrase,65,1052,3,181.3,483.37,"
6
"
climbing shoes,phrase,56,2395,3,145.75,686.16,6
work shoes,broad,47,7361,3,-9999.99,921.04,5
shoe clearance,phrase,274,3811,7,1022.76,2040.88,6
adidas ultraboost,phrase,74,3188,1,41.3,158.33,5
waterproof shoes,phrase,200,1000000,18,745.75,3521.52,8
puma running,broad,73,3552,3,175.83,608.55,3
formal shoes,broad,82,3385,2,62.19,476.98,3
discount shoes,phrase,155,4029,8,563.75,3503.63,8
shoe buying guide,phrase,32,763,0,125.25,0.0,8
leather shoes,broad,41,8356,3,134.74,639.35,4
summer sandals,broad,285,8234,24,642.0,6117.47,4
gym shoes,exact,150,1871,5,577.01,2125.74,8
shoe comparison,exact,159,1884,11,203.22,4375.0,9
trail running shoes,phrase,239,4602,4,1115.32,372.27,5
shoe clearance,phrase,22,994,1,89.54,152.56,5
discount shoes,broad,105,8697,7,179.37,1147.9,6
puma running,broad,70,2384,2,317.87,537.8,4
gym shoes,phrase,11,514,0,18.34,0.0,6
adidas ultraboost,exact,15,107,1,51.94,407.12,8
converse all star,exact,53,620,3,108.21,153.05,8
nike air max,phrase,100,3551,7,458.25,2483.59,6
reebok nano,phrase,178,3380,1,129.18,265.24,6
work shoes,phrase,122,4510,10,384.17,842.3,8
leather shoes,broad,105,2660,3,202.3,978.71,5
running shoes,phrase,51,1784,4,168.06,1579.93,5
shoe colors,phrase,260,3912,24,535.71,2784.79,7
shoe brands,exact,69,544,2,288.76,453.59,9
marathon shoes,exact,154,1801,8,238.85,717.94,7
shoe clearance,phrase,96,3294,6,59.04,1810.14,5
nike air max,exact,35,684,0,80.3,0.0,8
shoe buying guide,exact,249,1819,5,302.3,1373.2,7
adidas ultraboost,exact,147,1168,2,119.75,682.61,7
crossfit shoes,exact,112,1436,4,347.59,459.93,10
training shoes,phrase,101,2018,6,397.32,641.08,6
shoe reviews,exact,19,  238  ,0,63.16,0.0,9
climbing shoes,broad,33,4566,2,134.1,690.15,5
training shoes,phrase,84,1561,7,160.77,2740.64,6
puma running,broad,158,4987,5,337.55,2188.96,6
summer  sandals,phrase,151,1897,13,553.97,2258.2,5
shoe shop,exact,92,1202,6,379.78,884.9,10
shoe colors,phrase,64,972,5,224.01,1098.6,7
shoe store,phrase,91,2036,6,74.94,711.81,7
trail running shoes,phrase,109,4728,3,430.69,600.63,8
gym shoes,phrase,158,3332,7,412.14,3417.54,8
narrow shoes,exact,151,1543,5,331.23,  1582.06  ,7
running shoes,broad,117,7572,3,498.7,876.48,6
converse all star,broad,312,9050,18,388.25,4501.27,4
shoe discount,phrase,81,2570,6,338.32,1468.72,498.31
vans sneakers,broad,78,5666,3,311.63,1098.5,4
vans sneakers,exact,163,1334,8,347.08,2457.45,9
yoga shoes,phrase,184,2633,9,618.49,4320.29,7
hiking shoes,broad,32,1051,0,58.49,0.0,3
running shoes,exact,72,1345,4,249.88,515.47,7
casual shoes,phrase,197,3665,11,939.26,4563.31,5
walking shoes,exact,254,1995,20,646.73,5382.86,  10  
shoe store,phrase,231,3534,22,386.62,1963.25,7
winter boots,phrase,40,842,1,152.55,92.12,6
BASKETBALL SHOES,exact,102,1256,5,55.94,1200.17,7
crossfit  shoes,exact,24,168,0,29.19,0.0,9
casual shoes,broad,98,4096,7,250.49,840.7,5
yoga shoes,broad,271,7302,5,321.99,703.97,3
shoe discount,phrase,51,823,2,112.62,966.02,7
shoe sizes,exact,107,1423,9,361.36,2538.42,10
trail running shoes,exact,99,1045,7,310.73,2519.4,8
formal shoes,broad,117,9455,6,184.17,1179.55,4
gym shoes,exact,240,1759,21,840.91,9140.94,8
training shoes,broad,35,1466,0,122.57,0.0,5
shoe store,phrase,17,631,1,51.17,259.4,5
shoe ratings,phrase,172,4494,11,727.82,2384.87,5
shoe clearance,phrase,37,696,1,139.11,456.15,6
shoe clearance,exact,225,1600,5,629.83,1066.98,8
brand shoes,exact,145,1011,12,679.72,641.82,10
